pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381904614,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.15.xml,5166819,tct 2018-07-13,20651,tct_rci,304379,complete,2.143796407,0.557761192322,4.8128E7,"WORST_CASE(Omega(n^1),O(n^1))",2943
381904631,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.5a.xml,5166820,AProVE,20177,complexity,302122,complete,22.539516065,6.4538860321,3.632377856E9,"WORST_CASE(Omega(n^1), O(n^1))",21442
381904646,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.5a.xml,5166820,tct 2018-07-13,20651,tct_rci,304379,complete,25.947802556,6.70689320564,1.532928E8,"WORST_CASE(Omega(n^1),O(n^2)),33063
381904661,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.13.xml,5166821,AProVE,20177,complexity,302122,run script error,0.0,0.0,0.0,--,-
381904671,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.13.xml,5166821,tct 2018-07-13,20651,tct_rci,304379,timeout (wallclock)",1192.37070265,294.677832842,4.248358912E9,"WORST_CASE(Omega(n^1),?)",2976
381904681,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.41.xml,5166822,AProVE,20177,complexity,302122,complete,16.534571363,5.02072191238,4.219920384E9,"WORST_CASE(Omega(n^1), O(n^1))",7691
381904691,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.41.xml,5166822,tct 2018-07-13,20651,tct_rci,304379,complete,4.313412264,1.06928086281,5.7708544E7,"WORST_CASE(?,O(n^2))",2039
381904701,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.8a.xml,5166823,AProVE,20177,complexity,302122,complete,26.958581707,7.53691482544,4.556251136E9,"WORST_CASE(Omega(n^1), O(n^1))",21580
381904711,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.8a.xml,5166823,tct 2018-07-13,20651,tct_rci,304379,complete,32.237257358,6.87125778198,1.30879488E8,"WORST_CASE(Omega(n^1),O(n^3))",30822
381904721,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.2.xml,5166824,AProVE,20177,complexity,302122,complete,20.9389889,6.05992102623,3.623440384E9,"WORST_CASE(Omega(n^1), O(n^1))",13284
